 ,,,,,,,,,,,,,,,,,,,,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茸1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂1,,,,,,,,,,,,,,,B,B,B,B,B,B
,,,,,,,,,,,,,,,,,,,,岩,岩,,,B,B,B,B,,,岩,岩,,,b,b,b,b,,,岩,岩,,,,,,,,,B,B,B,B,B,B
,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,,,,,,,b,b,b,b,,,,,,,,,,,,,B,B,B,B,B,B
茸1,,茂2,,始,,,,,,,,,,,,茸2,,,,,,,,B,B,B,B,,,,,,,b,b,b,b,,,,,,,,,,茂1,,,B,B,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g, , ,, , , ,B,B,B,B,,,,,,,b,b,b,b,,,,,,,g,g,g,g,g,g,B,B,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,茸1, ,, , , ,B茂1,B,B,B,,,,茸2,,茸1,b,b,b,b,,,,茸1,,茸2,g,g,g,g,g,g,B,B,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,B完,B,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,B,B,B,B,B,B
