,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,,,,,,S,B,B,B,B,B,B,B茂1,B,BS,B,B,B,B,BS,BS,BS,Bs,Bs,B,B,Bs,Bs,Bs,Bs,Bs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,茸2,,g,g,,,,,角,角,B,B,B,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,,,,角,角,,B,B,B,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,,,,,,,,,,
,,,,,,,,,,,,,,,茸1,,,,,,,,,g,g,g,g,,,,,,,B,B,B,bB,bB,bB岩,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,,,,,,,,,,
,,,,,,,,,,,,,,B,B,,L2,,,L2,,,,g,g,g,g,,茸1,,,,,B,B,B,bB,bB,bB岩,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,,,,,,,,,,
,,,,,,,,,,,,,,B,B,,,,,,,,,g,g,g,g,岩,岩,岩,,,,B,B,B,bB,bB,bB岩,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,,,,,,,,,,
,,,,,,,,,,,,b,b,bB,bB,,,,,,,,,g,g,g,g,,,,,,,B,B,B,bB,bB,bB岩,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,,,完,,,,,,,
,,,,,,,,,,,,b,b,bB,bB,,,,,,,,,g,g,g,g,,,,,,,B,B,B,bB,bB,bB,bB,bB,bB茂1,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,,,,,,,,茸2,,茸1
,茂2,,,,始,,,,,,,b,b,bB,bB,茸2,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
