 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2,茂2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,完,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,,,,,,岩,岩,岩,岩,岩,角,岩,岩,岩,岩,角,岩,岩,岩,岩,岩,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,,,, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂1,s,,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,,,, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,B,B,B,B
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,L2, ,,,g,g,g,g,g,g,g,g,g,g,g,g,g,gB, B, B,gB
 ,,,,,,,,,,,,,,,,,,,,,,茸1,茂1,,,,,茸2,,,角,角,角,,B,B,B,B,B,B,B,B,BS,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,gB,茸2B, B,gB
 ,,,,,,,,,茂1,,,,茸1,,,,,,,,,g,g,g,g,g,g,g,,,,,,,B,bB,bB,bB,bB,B岩,B岩,B岩,B岩,g,g,g,g,g,g,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,gB,gB, B,gB
 ,,,,,,,,g,g,g,g,g,g,,,,,,,,,g,g,g,g,g,g,g,,,,,,,B,bB,bB,bB,bB,B,B,B,B,g,g,g,g,g,g,g,g,g,,,,,,,,,,g,g,g,茸1, ,g,g,g,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,gB,gB, B,gB
 ,,,　,始,,,茸2,g,g,g,g,g,g,茂2,,,,,,,,g,g,g,g,g,g,g,,,,,,,B,bB,bB,bB,bB,B,B,B,B,茂1,,,,,,茸1,,茸2,,,,,,茂1,,,,g,g,g,g,g,g,g,g,,,,,茂2,,,,,,,,,茂1, , , , , , , , , , ,茸2,茸1, B,茸1B, B,gB
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
