q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,岩,岩,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,角,角,角,,,,,,,岩,岩,,,,,,,,,,,,,,,,,,,,茸1,,茸2,,,,,,,,,,,,,,
,,岩,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,,,,,完,,,,,,,,,
,,,,,岩,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂1,,,,g,g,g,g,,,,茸2,,茂1,,,,,,,,茸1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,g,g,g,g,,,B,B,B,B,B,B,B,B,B,B,B,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,b,b,b,b,g,g,g,g,,,B,B,B,B,B,B,B,B,B,B,B,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,,,,,,,b,b,b,b,g,g,g,g,,,B,B,B,B,B,B,B,B,B茸1,B,B,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,g,g,g,g,,,B,B,B,B,B,B,B,B,Bb,Bb,Bb,Bb
茸1,,茂2,,,始,,,,,,,,,,,,,,,茸1,,,茂2,,,,,,,,,,,b,b,b,b,g,g,g,g,,,B,B,B,B,B,B,B,B,Bb,Bb,Bb,Bb
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,g,g,g,g,g,g,g,g,g,g,g,g,茸1,茸2,b,b茂1,b,b,g,g,g,g,茸2,,B,B,B,B,B茂1,B,B,B,Bb,Bb,Bb,Bb
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
