,,,,,,,,,,,,,,,,,,,,,,,,,,q,r,q,r,q,r,q,r,q,r,q,r,q,q,q,q,q,q,r,q,r,q,r,q,r,q,r,q,r,q,r,q,r,q,r,q,r,q,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,S,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,,,,岩,岩,岩,岩,,,,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,岩,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,角,角,角,,,,,角,角,角,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茂2,,,始,,,,,,,,,s,茸1,,,茂1,,,,,,茸2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茂2,,,,,,,,,,,,,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,完,,,,,,,,,,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B茸1,B,,茸2,,,,,,,,,s,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,B,B,B,B,B,B,B,B,,,,茂2,,,,,,,,,,,,,s,,,s,,,茸1,,茸2,茸1,s,,,茂1,,,,,,,,B,B,B,B,B,B,B,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB
g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,B,B,B,B,B,bB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,B,B,B,B,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB
g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,B,B,B,B,B,bB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,B,B,B,B,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB
g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,B,B,B,B,B,bB,bB,bB,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,bB,bB,bB,B,B,B,B,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB,bB
