 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茂2,,,始,,,,,,,,茸2,,,,茂1,,S,,,S,,茸1,,,,,茸2,,茸1,S,,,S,茂1,,,,,,,,,,,,茂1,,,,,s,
g,g,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,b,,,,b,b,b,b,b,b,b,b,b,b,,,完,,,,,,,B,B,B,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,b,,,,b,b,b,b,b,b,b,b,b,b,,,,,,,,,,B,B,B,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,b,,,,b,b,b,b,b,b,b,b,b,b,,,,,,,,,,B,B,B,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,b,,,,b,b,b,b,b,b,b,b,b,b,,,,,,,,,,B,B,B,B,B,B,B
g,g,g,g,g,g,g,g,g,g,g,g,,,b,b,b,b,b,b,b,b,b,b,,,,b,b,b,b,b,b,b,b,b,b,,,,,,,,,,B,B,B,B,B,B,B
