r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,岩,,,,,,,,,,,,,,,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,R5,,,,,,,,,,,,,,,R1,,,,,,,,,,,,,,,R5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,岩,,,,,,,,,,,,,,,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,R3,,,,,,,,,,,,,,,R3,,,,,,,,,,,,,,,R3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,岩,,,,,,,,,,,,,,,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,R1,,,,,,,,,,,,,,,R5,,,,,,,,,,,,,,,R1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,岩,,,,,,,,,,,,,,,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,茂2,,,,,,始,,,,,,,,,,,,,,茂1,,,,,,茸2,,茂1,,,,,,,,茂2,,,,,,,,,,,,,,,,,,,,,茸1,,茂1,,
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,完,,,,,,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,g,g,g,g,g,g
