,,,,,,,,,,,,,,,,,r,r,r,r,,,,,r,r,r,,,,r,r,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,岩,,岩,,,,,,,岩,,岩,,岩,,岩,,岩,,岩,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茸1,,,s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b
,,,,,,,,,,,,,,,,,茂2,,,,,,,,,,,,,,,,,,,S,,茸1,,,,,,,,,,,,,,,,,b,b,b,b
,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,茂2,,,,,,,,,S,茸2,,,,,b,b,b,b
,,,,,,,,,,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,g,g,g,g,g,g,g,g,g,g,g,,完,,,b,b,b,b
,,,,,,,,,,,,,,,B,B茸1,B,B,B,B,B,B,B,B,B,B,B,B,B茂1,B,B,B,B,B,B,B,B,B,,g,g,g,g,g,g,g,g,g,g,g,,,,,b,b,b,b
,,,,,,,,,,,,,,,gB,gB,gB,gB,gB,gB,B,B,B,B,B,gB,gB,gB,gB,gB,gB,B,B,B,gB,gB,gB,gB,,g,g,g,g,g,g,g,g,g,g,g,,,,,b,b,b,b
茂1,,,,始,,茂2,,,,,,,,,gB,gB,gB,gB,gB,gB,茂1B,B,B,B,茸1sB,gB,gB,gB,gB,gB,gB,B,B,B,gB,gB,gB,gB,,g,g,g,g,g,g,g,g,g,g,g,,,,,b,b,b,b
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,B,B,B,gB,gB,gB,gB,,g,g,g,g,g,g,g,g,g,g,g,,,,,b,b,b,b
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,gB,B,B,B,gB,gB,gB,gB,,g,g,g,g,g,g,g,g,g,g,g,,,,,b,b,b,b
