,,,,,,,,,,,,,,,,,,,,,,,,,,,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茸2,,S,,S,,,茸1,,茸2,,,,,,,,,,岩,岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,茂2,,,,,,,,,,,,,,,,,茸1,,,,,,,,B,B,B,B,B,B,B,B,B,B,,,,,角,角,,,岩,岩,岩,岩,,,,,角,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,g,g,g,g,g,g,g,g,,,,B,B,B,B,g,g,g,,,,,,,,B,B,B,B,B,B,B,B,B,B,,,,,,,,,岩,,S,岩,,,茸1,,,,,,角,,,,茸2,,茸1,,,,,,,,,,,,,,,,,,,,,,,,,
茂1,,,,,,g,g,g,g,g,g,g,g,,,,B,B,B,B,g,g,g,,,,茸1,,S,,B,B,B,B,B,B,B,B,B,B,,,,茸2,,S,,,岩,岩,岩,g,g,g,g,,,,,,,,,,g,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,
B,B,B,B,,,g,g,g,g,g,g,g,g,,,,B,B,B,B,g,g,g,,,,b,b,b,b,Bb,Bb,Bb,B,B,B,B,B,B,B,,,,b,b,b,b,,,,岩,g,g,g,g,,,,,,,,,,g,g,g,g,,,,,,,,,,,茸1,,,,,,,,,,,,,
B,B,B,B,,,,,,,g,g,g,g,,,,B,B,B,B,g,g,g,,,,b,b,b,b,Bb,Bb,Bb,B,B,B,B,B,B,B,,,,b,b,b,b,,,,岩,g,g,g,g,,,,,,,,,,g,g,g,g,,,,,,,,,,,g,g,g,,,,,,,,,,,
B,B,B,B,,茸1,,,,,g,g,g,g,,,,BL2,B,B,B,g,g,g,茸2,,,b,b,b,b,Bb,Bb,Bb,B,B,Bs,B,Bs,B,B,茂1,,,b,b,bs,b,,,岩,岩,g,g,g,g,茂2,,s,s,,,,,,g,g,g,g,s茂1,s,s,s,s茸1,s,s,s,s,s茸2,g,g,g,,,,,,,,,,,
B,B,bB,bB,b,b,b,,,,g,g,g,g,,,,B,B,B,B,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,,,,,
B,B,bB,bB,b,b,b,,,,g,g,g,g,,,,B,B,B,B,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,完,,,,,,,b,b
B,B茸2,bB,bB,b,b,b,,始,,g,g,g,g,,,,B,B,B,B,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,,,,,,b,b
g,g,g,g,g,g,g,g,g,g,g,g,g,g,茂1,,,B,B,B,B,茂1,,,,,,,,,,茸1,,茸2,,,,,,,,,茂1,,,,,,,,,,,,,,,茸1,茸2,茸1,,茸2,,茸1,,,,,,,,,,,,,,茸1,,茂1,,,,,,,,,,,茸2,b,b
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
